Identifier,Book number,page number,Folder Title,Box,Folder,Note,Scan date,Scan initials,Crop initials,title,creator,abstract,date_approximate,Extent,subject,subject_URI,subject2,subject2_URI,subject_geo,subject_geo_URI,form,form_URI,Language,Language 2,typeOfResource,typeOfResource2,rights,rights_statement,repository,provider
ms3976-b1-f2_001,1,33,"Lane College Scrapbook (2/3), 1923",2,2,,2023-03-08,SG,JM,"Lane College scrapbook, page 33","Spann, Lessie Belle","Autographs of My Classmates. Dear Lessie Belle, Let your life be as a snowflake. Leave a mark, But not a stain. Your Classmate Lottya Loryene Graye. 803 Middleton St Jackson, Tenn. Phone calls are good / Cards are better / But the best / of all is a / Big fat letter",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f2_002,1,34,"Lane College Scrapbook (2/3), 1923",2,2,,2023-03-08,SG,JM,"Lane College scrapbook, page 34","Spann, Lessie Belle","Autographs of My Classmates. Dearest Lessie Belle - First to thine own self be true and it must follow as the day the night , thou can not be false to anyone. Lovingly, Mytrolene L. Graye, 803 Middelton St. Jackson, Tenn. Write",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f2_003,1,35,"Lane College Scrapbook (2/3), 1923",2,2,,2023-03-08,SG,JM,"Lane College scrapbook, page 35","Spann, Lessie Belle","Autographs of My Classmates. My dear class-mate:- The little worries which we meet each day, May be as stumbling across our way, or we may make them as stepping stones to be of grace, O Lord to thee. Lovingly your class-mate,  Dimple V. Johnson. R.1. D4, 105 Trenton, Tenn. Be sure to write me some-time in order that I might keep in touch with you.",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f2_004,1,36,"Lane College Scrapbook (2/3), 1923",2,2,,2023-03-08,SG,JM,"Lane College scrapbook, page 36","Spann, Lessie Belle","My Dear Lessie Belle:- ""I will not (?) say for - get -me- not, nor will I say remember the  one you will do, the other not, when I am not there to see."" Be ever so sweet, L. Louise D. Kohlheim 113 Franklin st. Tupelo, Miss.",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f2_005,1,37,"Lane College Scrapbook (2/3), 1923",2,2,,2023-03-08,SG,JM,"Lane College scrapbook, page 37","Spann, Lessie Belle",Athletics. Lane College Tree of Life 1923,1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,still image,text,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f2_006,1,38,"Lane College Scrapbook (2/3), 1923",2,2,,2023-03-08,SG,JM,"Lane College scrapbook, page 38","Spann, Lessie Belle","Interesting Events and Frolics. ""Buddies"". Betty. Old Timers. 1923 1923 Lanites",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,still image,text,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f2_007,1,39,"Lane College Scrapbook (2/3), 1923",2,2,,2023-03-08,SG,JM,"Lane College scrapbook, page 39","Spann, Lessie Belle",Class Colors and Emblem,1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f2_008,1,40,"Lane College Scrapbook (2/3), 1923",2,2,,2023-03-08,SG,JM,"Lane College scrapbook, page 40","Spann, Lessie Belle","Class Motto and Yell. ""Nous finissons Commencer"" ""We finish to begin"". We are the! We are the! We are the we'es (?) We are the class of '23",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,French,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f2_009,1,41,"Lane College Scrapbook (2/3), 1923",2,2,,2023-03-08,SG,JM,"Lane College scrapbook, page 41","Spann, Lessie Belle",Class Day,1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f2_010,1,42,"Lane College Scrapbook (2/3), 1923",2,2,,2023-03-08,SG,JM,"Lane College scrapbook, page 42","Spann, Lessie Belle",Class Day,1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f2_011,1,43,"Lane College Scrapbook (2/3), 1923",2,2,,2023-03-08,SG,JM,"Lane College scrapbook, page 43","Spann, Lessie Belle","Class Officers. Class Prophet, - Mildred Otmise Allen. Class Historian, - Lessie Bell Spann. Class Giftitorian, - Louise D. Kohlheim. Class Will + Testament,-  Lucile L Price. Tree Oration, -  Dimple V. Johnson. Class Poet,-  Viola P. Flowers. Class Song,- Mytrolene Graye. Class Statistician, - Florence B. Lovell. Burning of Books, -  Loryene L Graye",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f2_012,1,44,"Lane College Scrapbook (2/3), 1923",2,2,,2023-03-08,SG,JM,"Lane College scrapbook, page 44","Spann, Lessie Belle",My School. Lane College,1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,still image,text,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f2_013,1,45,"Lane College Scrapbook (2/3), 1923",2,2,,2023-03-08,SG,JM,"Lane College scrapbook, page 45","Spann, Lessie Belle",Advanced Class in Home Economics,1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,still image,text,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f2_014,1,46,"Lane College Scrapbook (2/3), 1923",2,2,,2023-03-08,SG,JM,"Lane College scrapbook, page 46","Spann, Lessie Belle",Gifts and Flowers,1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f2_015,1,47,"Lane College Scrapbook (2/3), 1923",2,2,,2023-03-08,SG,JM,"Lane College scrapbook, page 47","Spann, Lessie Belle","Contents. Name and School, Class Colors and Emblem. Class Motto and Yell. Class Officers. My School. My Teachers. Graduation Room. Invitations and Social Events. Gifts and Flowers. Clubs. Athletics. Interesting Events and Frolics. Senior Prom. Autographs of My Classmates. Autographs of my Classmates. Photographs of My Classmates. Class Day. Class Prophecy. Class Play. Class History. Class Poem. Class Song. Miscellaneous Snapshots.",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f2_016,1,48,"Lane College Scrapbook (2/3), 1923",2,2,,2023-03-08,SG,JM,"Lane College scrapbook, page 48","Spann, Lessie Belle",Lessie Belle Spann 5/15/23. Lane College,1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f2_017,1,49,"Lane College Scrapbook (2/3), 1923",2,2,,2023-03-08,SG,JM,"Lane College scrapbook, page 49","Spann, Lessie Belle","1923 My Teachers Mrs.Lane Miss ""Be"" Prof. Berry 1923 Capt Hutson Professor Jefferies.",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,still image,text,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f2_018,1,50,"Lane College Scrapbook (2/3), 1923",2,2,,2023-03-08,SG,JM,"Lane College scrapbook, page 50","Spann, Lessie Belle","Graduation Program. Tuesday Evening, 8 O'Clock. Processional. Song. Invocation. Vocal Duett-""Home to our Mountians"" Verdi Miss Mitrolyene Gray and Mr. Dewey Tuggle. Oration ""The Value and Influence of Music in the School. Miss Otemise Mildred Allen (omitted). Oration ""Recreation, Its Place in the School Room"". Miss Viola Parthenia Flowers (Omitted). Oration-""Varieties of Education"" Miss Lottya Loyene Graye. Oration ""The School and its Government"" Miss Dimple Virginia Johnson (omitted) Oration ""And a Little Child Shall Lead Them"" Miss Lucille L. Price. Oration ""Professional Training, its growth and Value"" Miss Lucille L.Price Vocal Solo-""Call Me Bacl"" Miss Viola Parthenia Flowers.Oration ""The Growth of an Individual's Ideal"" Miss Myra Hortense Roman. Oration ""Building of Character, the Aim of the School"" Miss Lessie Belle Spann. Oration-""The Value of a Fixed Purpose"" Miss Olive B. Woods. Piano Solo-""Impromptu""-C. Sharp Minor Rheinhold. Miss Otemise Mildred Allen. Oration ""The Social Duty of the Church. Miss Eassie Mae Atwater. Oration-""The Value of a Vision"" Miss Ada M. V. White. Music-""The Song of the Mocking Bird"" Young Ladies' Glee Club Announcments. Benediction",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f2_019,1,51,"Lane College Scrapbook (2/3), 1923",2,2,,2023-03-08,SG,JM,"Lane College scrapbook, page 51","Spann, Lessie Belle","Autographs of My Classmates. Heights of great men reached and kept were not attained by sudden flight, but he while his companions slept were toiling upward in the night. Remembrance is all I ask. Stonie W. Mutra 3309 So.Park Ave. Chicago Ill.",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f2_020,1,52,"Lane College Scrapbook (2/3), 1923",2,2,,2023-03-08,SG,JM,"Lane College scrapbook, page 52","Spann, Lessie Belle",Page contains formal black-and-white photographs of Black men and women.,1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,still image,text,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f2_021,1,53,"Lane College Scrapbook (2/3), 1923",2,2,,2023-03-08,SG,JM,"Lane College scrapbook, page 53","Spann, Lessie Belle",Tollette and Tuggle. Hutson. Woodson. Quartette. Cap and Gown 1923. 1923. Cile ,1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,still image,text,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f2_022,1,54,"Lane College Scrapbook (2/3), 1923",2,2,,2023-03-08,SG,JM,"Lane College scrapbook, page 54","Spann, Lessie Belle","Interesting Events and Frolics 1923. L to R: Lassies at Attention. HA! HA! HA! Octette Lanites ""Having Fun""- Catch a Smile Lanites ",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,still image,text,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
